nodes__label,nodes__link,nodes__connection_label,nodes__connection_link
,,Bathilda Bagshot,Bathilda_Bagshot
,,Bellatrix Lestrange,Bellatrix_Lestrange
,,Bill Weasley,Bill_Weasley
,,Cedric Diggory,Cedric_Diggory
,,Charity Burbage,Charity_Burbage
,,Colin Creevey,Colin_Creevey
,,Cornelius Fudge,Cornelius_Fudge
,,Dean Thomas,Dean_Thomas
,,Dedalus Diggle,Dedalus_Diggle
,,Dobby,Dobby
,,Draco Malfoy,Draco_Malfoy
,,Emmeline Vance,Emmeline_Vance
,,Fenrir Greyback,Fenrir_Greyback
,,Fleur Delacour,Fleur_Delacour
,,Fluffy,Fluffy
,,Frank Bryce,Frank_Bryce
,,Fred Weasley,Fred_Weasley
,,Garrick Ollivander,Garrick_Ollivander
,,Gellert Grindelwald,Gellert_Grindelwald
,,Goyle Sr,Goyle
,,Gregorovitch,Gregorovitch
,,Harry Potter,Harry_Potter
,,Helena Ravenclaw,Helena_Ravenclaw
,,Helga Hufflepuff,Helga_Hufflepuff
,,Hepzibah Smith,Hepzibah_Smith
,,Hermione Granger,Hermione_Granger
,,Horace Slughorn,Horace_Slughorn
,,Igor Karkaroff,Igor_Karkaroff
,,James Potter,James_Potter_I
,,Katie Bell,Katie_Bell
,,Kingsley Shacklebolt,Kingsley_Shacklebolt
,,Kreacher,Kreacher
,,Lee Jordan,Lee_Jordan
,,Lucius Malfoy,Lucius_Malfoy
,,Luna Lovegood,Luna_Lovegood
,,Marvolo Gaunt,Marvolo_Gaunt
,,Mary Riddle,Mary_Riddle
,,Merope Gaune,Merope_Gaunt
,,Michael Corner,Michael_Corner
,,Minerva McGonagall,Minerva_McGonagall
,,Moaning Myrtle,Moaning_Myrtle
,,Molly Weasley,Molly_Weasley
,,Morfin Gaunt,Morfin_Gaunt
,,Nagini,Nagini
,,Narcissa Malfoy,Narcissa_Malfoy
,,Neville Longbottom,Neville_Longbottom
,,Nymphadora Tonks,Nymphadora_Tonks
,,Olympe Maxime,Olympe_Maxime
,,Parvati Patil,Parvati_Patil
,,Percy Weasley,Percy_Weasley
,,Peter Pettigrew,Peter_Pettigrew
,,Petunia Dursley,Petunia_Dursley
,,Pius Thicknesse,Pius_Thicknesse
,,Pomona Sprout,Pomona_Sprout
,,Quirinus Quirrell,Quirinus_Quirrell
,,Rabastan Lestrange,Rabastan_Lestrange
,,Regulus Black,Regulus_Black
,,Rita Skeeter,Rita_Skeeter
,,Rodolphus Lestrange,Rodolphus_Lestrange
,,Ron Weasley,Ron_Weasley
,,Rubeus Hagrid,Rubeus_Hagrid
,,Rufus Scrimgeour,Rufus_Scrimgeour
,,Salazar Slytherin,Salazar_Slytherin
,,Scabbers,Scabbers
,,Severus Snape,Severus_Snape
,,Sirius Black,Sirius_Black
,,Sturgis Podmore,Sturgis_Podmore
,,Sybill Trelawney,Sybill_Trelawney
,,Ted Tonks,Ted_Tonks
,,Theodore Nott,Theodore_Nott
,,Thomas Riddle,Thomas_Riddle
,,Tom Riddle Sr.,Tom_Riddle_Sr.
,,"Vincent Crabbe, Sr.",Crabbe
,,Wormtail,Wormtail
Augustus Rookwood,Augustus_Rookwood,Aberforth Dumbledore,Aberforth_Dumbledore
,,Albus Dumbledore,Albus_Dumbledore
,,Barty Crouch Sr.,Bartemius_Crouch_Sr.
,,Bellatrix Lestrange,Bellatrix_Lestrange
,,Fred Weasley,Fred_Weasley
,,Harry Potter,Harry_Potter
,,Igor Karkaroff,Igor_Karkaroff
,,Kingsley Shacklebolt,Kingsley_Shacklebolt
,,Lord Voldemort,Lord_Voldemort
,,Lucius Malfoy,Lucius_Malfoy
,,Ludo Bagman,Ludo_Bagman
,,Percy Weasley,Percy_Weasley
,,Severus Snape,Severus_Snape
,,Sirius Black,Sirius_Black
Newt Scamander,Newt_Scamander,,
